,favorite_count,tweet_id,retweet_count
72,0,878404777348136964,1117
73,0,878316110768087041,5796
74,7026,878281511006478336,1117
75,38351,878057613040115712,5976
76,71961,877736472329191424,16585
77,0,877611172832227328,71
78,20670,877556246731214848,3322
79,25009,877316821321428993,4568
80,24672,877201837425926144,4867
81,18870,876838120628539392,2926
82,21697,876537666061221889,4130
83,17130,876484053909872640,2081
84,25556,876120275196170240,4085
85,22923,875747767867523072,3755
86,20012,875144289856114688,4304
87,25062,875097192612077568,5351
88,23318,875021211251597312,4150
89,25416,874680097055178752,4080
90,0,874434818259525634,12770
91,23817,874296783580663808,3636
92,20783,874057562936811520,3511
93,31206,874012996292530176,8992
94,22166,873580283840344065,3469
95,0,873337748698140672,1394
96,6549,873213775632977920,1394
97,24918,872967104147763200,4764
98,13501,872820683541237760,3287
99,18991,872620804844003328,3218
100,37319,872486979161796608,8042
101,31347,872122724285648897,7167
102,34340,871879754684805121,9662
103,18515,871762521631449091,3080
104,18501,871515927908634625,3069
105,0,871166179821445120,5067
106,19185,871102520638267392,4882
107,20863,871032628920680449,3374
108,30847,870804317367881728,5478
109,112,870726314365509632,3
110,11269,870656317836468226,2307
111,76442,870374049280663552,23689
112,20133,870308999962521604,3683
113,33520,870063196459192321,7381
114,39203,869772420881756160,9048
115,25905,869702957897576449,5597
116,14695,869596645499047938,2765
117,18777,869227993411051520,3348
118,60046,868880397819494401,12820
119,0,868639477480148993,1832
120,24471,868622495443632128,4709
121,9278,868552278524837888,1832
122,22328,867900495410671616,3740
123,31317,867774946302451713,6547
124,14806,867421006826221569,2226
125,0,867072653475098625,106
126,29693,867051520902168576,7062
127,18438,866720684873056260,4307
128,17764,866686824827068416,3097
129,112717,866450705531457537,31597
130,48264,866334964761202691,12770
131,0,866094527597207552,7508
132,23759,865718153858494464,5056
133,24446,865359393868664832,4496
134,25911,865006731092295680,6955
135,29811,864873206498414592,7815
136,13510,864279568663928832,2708
137,27690,864197398364647424,7937
138,19105,863907417377173506,3736
139,14125,863553081350529029,3784
140,0,863471782782697472,2174
141,22039,863432100342583297,4736
142,2029,863427515083354112,84
143,8148,863079547188785154,1005
144,7804,863062471531167744,2174
145,17788,862831371563274240,4638
146,15876,862722525377298433,3215
147,18931,862457590147678208,4447
148,68716,862096992088072192,20912
149,33503,861383897657036800,9704
150,15938,861288531465048066,3745
151,15517,861005113778896900,3466
152,0,860981674716409858,1936
153,0,860924035999428608,710
154,6962,860563773140209665,1936
155,22012,860524505164394496,4802
156,17138,860276583193509888,3201
157,15496,860184849394610176,5328
158,0,860177593139703809,28055
159,18280,859924526012018688,3728
160,14420,859851578198683649,3210
161,17404,859607811541651456,1409
162,83632,859196978902773760,27450
163,31514,859074603037188101,12470
164,0,858860390427611136,7405
165,14596,858843525470990336,3171
166,20176,858471635011153920,4453
167,14732,858107933456039936,2644
168,15031,857989990357356544,2365
169,31987,857746408056729600,9747
170,5517,857393404942143489,1498
171,18841,857263160327368704,4145
172,210,857214891891077121,16
173,0,857062103051644929,154
174,17661,857029823797047296,3656
175,15372,856543823941562368,2656
176,11165,856526610513747968,1735
177,0,856330835276025856,615
178,488,856288084350160898,15
179,26079,856282028240666624,5801
180,314,855862651834028034,22
181,4603,855860136149123072,895
182,11201,855857698524602368,1946
183,43246,855851453814013952,16746
184,25127,855818117272018944,5021
185,28060,855459453768019968,7605
186,0,855245323840757760,5509
187,0,855138241867124737,39
188,21458,854732716440526848,5619
189,27554,854482394044301312,6315
190,17839,854365224396361728,4350
191,30247,854120357044912130,6936
192,15371,854010172552949760,2923
193,27047,853760880890318849,5361
194,32768,853639147608842240,9305
195,14676,853299958564483072,3307
196,0,852936405516943360,1853
197,8536,852912242202992640,1679
198,14162,852672615818899456,2016
199,15442,852553447878664193,3252
200,31451,852311364735569921,9279
201,18966,852226086759018497,6377
202,10921,852189679701164033,1481
203,0,851861385021730816,19
204,15495,851591660324737024,3255
205,23082,851464819735769094,6608
206,19693,851224888060895234,5395
207,29257,850753642995093505,8488
208,12504,850380195714523136,2437
209,3297,850333567704068097,308
210,15562,850145622816686080,3550
211,19473,850019790995546112,4571
212,28995,849776966551130114,7132
213,0,849668094696017920,4664
214,15177,849412302885593088,2960
215,10912,849336543269576704,1773
216,40460,849051919805034497,7963
217,24115,848690551926992896,4082
218,23659,848324959059550208,4355
219,7820,848213670039564288,675
220,15617,848212111729840128,2841
221,0,847978865427394560,3069
222,0,847971574464610304,416
223,22526,847962785489326080,4798
224,5190,847842811428974592,1242
225,6696,847617282490613760,389
226,17997,847606175596138505,3238
227,19661,847251039262605312,4091
228,19021,847157206088847362,5508
229,20600,847116187444137987,3011
230,19271,846874817362120707,3711
231,42730,846514051647705089,10902
232,13560,846505985330044928,2900
233,30268,846153765933735936,8538
234,29803,846139713627017216,9564
235,15345,846042936437604353,2704
236,28039,845812042753855489,8229
237,24234,845677943972139009,4566
238,7325,845397057150107648,1685
239,22429,845306882940190720,5086
240,0,845098359547420673,7247
241,13127,844979544864018432,2415
242,14449,844973813909606400,2995
243,15829,844580511645339650,2945
244,13158,844223788422217728,2072
245,14637,843981021012017153,2806
246,20691,843856843873095681,4373
247,16269,843604394117681152,2593
248,20723,843235543001513987,5688
249,14749,842846295480000512,3453
250,6493,842765311967449089,1205
